ORF,Gene,Control Median,Control STD,Control Localization,Repeat 1 Median,Repeat 1 STD,Repeat 1 Localization,Repeat 2 Median,Repeat 2 STD,Repeat 2 Localization,DTT Median,DTT STD,DTT FoldChange,DTT Localization,H2O2 Median,H2O2 STD,H2O2 FoldChange,H2O2 Localization,Starvation Median,Starvation STD,Starvation FoldChange,Starvation Localization,Description
YAL045C,YAL045C,12.6,3.918258208,below threshold,12.347671,3.489099263,below threshold,12.8653175,4.177625168,below threshold,15.76,5.93,1.25,cytosol,15.96,3.42,1.26,cytosol,16.9,8.58,1.34,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A"
YJL189W,RPL39,14.45,3.645640002,below threshold,12.375,3.599630108,below threshold,16.539749,2.132067316,below threshold,15.32,5.87,1.05,cytosol,18.62,3.34,1.28,cytosol,15.33,6.21,1.06,cytosol,"Protein component of the large (60S) ribosomal subunit, has similarity to rat L39 ribosomal protein; required for ribosome biogenesis; loss of both Rpl31p and Rpl39p confers lethality; also exhibits genetic interactions with SIS1 and PAB1"
YAR030C,YAR030C,13.1,4.099273022,below threshold,12.4108825,4.295829197,below threshold,13.809825,3.781608897,below threshold,15.5,6.52,1.18,cytosol,16.05,3.09,1.22,cytosol,15.99,8.22,1.21,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9"
YOR242C,SSP2,13.11,3.895810229,below threshold,12.428044,3.845190718,below threshold,13.8169825,3.843399586,below threshold,15.75,4.99,1.2,cytosol,18.26,3.84,1.39,cytosol,27.35,5.7,2.08,cytosol,Sporulation specific protein that localizes to the spore wall; required for sporulation at a point after meiosis II and during spore wall formation; SSP2 expression is induced midway in meiosis
YMR052C-A,YMR052C-A,13.14,3.8537216,below threshold,12.471331,3.884082141,below threshold,13.814815,3.762398525,below threshold,15.77,5.61,1.2,cytosol,15.56,3.84,1.18,cytosol,16.72,9.81,1.27,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YDR199W,YDR199W,13.5,3.59389353,below threshold,12.490385,3.500234092,below threshold,14.513333,3.466116655,below threshold,16.83,6.61,1.24,cytosol,15.68,3.65,1.16,cytosol,17.28,10.86,1.28,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene VPS64; computationally predicted to have thiol-disulfide oxidoreductase activity"
YOL166C,YOL166C,12.73,3.600541152,below threshold,12.5442795,3.396150363,below threshold,12.9337305,3.774945753,below threshold,16.5,5.4,1.29,cytosol,14.52,3.54,1.13,cytosol,17.99,6.62,1.41,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YDL106C,PHO2,12.95,3.485233322,below threshold,12.556603,3.328839286,below threshold,13.35,3.586146528,below threshold,16.47,6.56,1.27,cytosol,12.33,3.05,0.95,cytosol,18.88,6.13,1.45,cytosol,Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p
YPR037C,ERV2,14.8,3.46890994,below threshold,12.5615075,3.211864449,below threshold,17.0517875,2.786892604,below threshold,16.43,5.68,1.1,cytosol,18.14,3.63,1.22,cytosol,15.53,5.84,1.04,cytosol,"Flavin-linked sulfhydryl oxidase localized to the endoplasmic reticulum lumen, involved in disulfide bond formation within the ER"
YOL157C,YOL157C,13.43,3.573379306,below threshold,12.596491,3.316234472,below threshold,14.2858155,3.657130948,below threshold,16.39,5.79,1.21,cytosol,13.54,3.27,1,cytosol,16.52,6.67,1.22,cytosol,Putative protein of unknown function
YDR339C,FCF1,14.92,4.113813444,below threshold,12.633859,3.5895468,below threshold,17.220166,3.60509292,below threshold,15.82,6.17,1.05,cytosol,18.62,4.64,1.24,cytosol,19.56,4.87,1.31,cytosol,Putative PINc domain nuclease required for early cleavages of 35S pre-rRNA and maturation of 18S rRNA; component of the SSU (small subunit) processome involved in 40S ribosomal subunit biogenesis; copurifies with Faf1p
YBL065W,YBL065W,13.73,3.424071341,below threshold,12.691018,3.489169952,below threshold,14.783334,3.07081177,below threshold,17.33,6.04,1.26,cytosol,15.51,3.5,1.12,cytosol,16.29,8.33,1.18,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF SEF1/YBL066C; YBL065W is a non-essential gene"
YNR019W,ARE2,13.59,4.209557737,below threshold,12.692307,4.445754125,below threshold,14.490991,3.642937069,below threshold,14.12,4.51,1.03,cytosol,16.13,2.62,1.18,cytosol,17.68,3.59,1.3,cytosol,"Acyl-CoA:sterol acyltransferase, isozyme of Are1p; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen"
YLR302C,YLR302C,14.08,4.317916967,below threshold,12.692771,4.441697039,below threshold,15.477451,3.689131634,below threshold,18.13,6.69,1.28,cytosol,14.86,2.99,1.05,cytosol,15.44,5.18,1.09,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YDR048C,YDR048C,13.13,4.168849212,below threshold,12.753431,4.523623764,below threshold,13.517647,3.479002155,below threshold,16.12,4.4,1.22,cytosol,15.5,3.45,1.18,cytosol,19.58,8.16,1.49,cytosol,"Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR236C,YLR236C,13.33,3.651450282,below threshold,12.757946,3.328181963,below threshold,13.9101395,3.895204767,below threshold,18.33,5.57,1.37,cytosol,16.61,3.8,1.24,cytosol,20.87,11.96,1.56,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YPR194C,OPT2,13.49,3.793176688,below threshold,12.779503,3.631874126,below threshold,14.2108355,3.838349837,below threshold,14.62,4.46,1.08,cytosol,15.32,3.68,1.13,cytosol,17.04,3.96,1.26,cytosol,"Oligopeptide transporter; member of the OPT family, with potential orthologs in S. pombe and C. albicans; also plays a role in formation of mature vacuoles"
YPL047W,SGF11,13.23,3.226311169,below threshold,12.78534,3.353449724,below threshold,13.682584,3.024834971,below threshold,16.16,5.68,1.22,cytosol,13.54,2.67,1.02,cytosol,13.54,2.03,1.02,cytosol,"Integral subunit of SAGA histone acetyltransferase complex, regulates transcription of a subset of SAGA-regulated genes, required for the Ubp8p association with SAGA and for H2B deubiquitylation"
YDR253C,MET32,14.6,4.02112015,below threshold,12.8056665,3.630540322,below threshold,16.414728,4.097815415,below threshold,15.1,5.93,1.03,cytosol,17.29,4.05,1.18,cytosol,22.67,12.51,1.55,cytosol,"Zinc-finger DNA-binding protein, involved in transcriptional regulation of the methionine biosynthetic genes, similar to Met31p"
YBL072C,RPS8A,15.55,4.31711423,below threshold,12.81132,3.532747496,below threshold,18.30867,3.691437177,below threshold,15.9,5.87,1.02,cytosol,17.61,3.68,1.13,cytosol,18.32,5.02,1.17,cytosol,Protein component of the small (40S) ribosomal subunit; identical to Rps8Bp and has similarity to rat S8 ribosomal protein
YPL099C,AIM43,15.02,3.473123093,below threshold,12.851744,2.188647648,below threshold,17.197279,3.077592245,below threshold,16.59,6.98,1.1,cytosol,18.92,3.81,1.25,cytosol,16.09,5.52,1.07,cytosol,"Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss"
YCR006C,YCR006C,15.24,3.776075068,below threshold,12.866797,2.826638975,below threshold,17.623377,3.454572812,below threshold,14.32,5.58,0.93,cytosol,15.74,2.98,1.03,cytosol,19.79,2.74,1.29,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YLR031W,YLR031W,14.27,3.584132199,below threshold,12.893617,3.481122732,below threshold,15.660638,3.259544409,below threshold,15.31,5.07,1.07,cytosol,16.2,4.08,1.13,cytosol,23.37,5.73,1.63,cytosol,Putative protein of unknown function
YGR064W,YGR064W,13.63,3.782457655,below threshold,12.939623,4.008132695,below threshold,14.339296,3.539608683,below threshold,17.58,5.48,1.28,cytosol,17.24,3.26,1.26,cytosol,15.96,4.76,1.17,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF SPT4/YGR063C"
YNL017C,YNL017C,14.04,3.547312592,below threshold,12.9775045,3.545089449,below threshold,15.1213235,3.266575183,below threshold,16.69,5.94,1.18,cytosol,15.58,3.64,1.1,cytosol,18.91,4.15,1.34,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the tRNA ORF tI(AAU)N2"
YMR257C,PET111,13.93,4.25670914,below threshold,13.000682,4.253376886,below threshold,14.8637995,4.060811679,below threshold,14.41,4.41,1.03,cytosol,15.1,3.19,1.08,cytosol,17.06,4.92,1.22,cytosol,Mitochondrial translational activator specific for the COX2 mRNA; located in the mitochondrial inner membrane
YGR035C,YGR035C,14.03,3.629177514,below threshold,13.0049795,3.749958437,below threshold,15.0658835,3.285569325,below threshold,16.12,6.63,1.14,cytosol,17.23,3.61,1.22,cytosol,17.04,8.47,1.21,cytosol,"Putative protein of unknown function, potential Cdc28p substrate; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance"
YIL163C,YIL163C,13.01,3.570318684,below threshold,13.0152025,3.495270103,below threshold,13.021127,3.669838812,below threshold,17.98,5.31,1.38,cytosol,15.81,3.99,1.21,cytosol,16.71,7.04,1.28,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YMR082C,YMR082C,14.43,3.7482383,below threshold,13.0351315,3.231078603,below threshold,15.840796,3.820156614,below threshold,16.46,6.18,1.14,cytosol,16.51,3.55,1.14,cytosol,18.48,3.74,1.28,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YDL159W-A,YDL159W-A,13.47,4.386531368,below threshold,13.043554,4.067791313,below threshold,13.902121,4.534983626,below threshold,15.77,4.54,1.17,cytosol,16.36,3.6,1.21,cytosol,14.83,6.67,1.1,cytosol,Putative protein of unknown function; identified by sequence comparison with hemiascomycetous yeast species
YGR039W,YGR039W,13.6,3.737320564,below threshold,13.117846,3.792373764,below threshold,14.092683,3.640000408,below threshold,18.5,5.58,1.36,cytosol,16.98,3.06,1.24,cytosol,17.05,6.75,1.25,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the Autonomously Replicating Sequence ARS722"
YGL217C,YGL217C,13.55,3.858726249,below threshold,13.1251135,3.727358181,below threshold,13.987369,3.963113636,below threshold,17.05,5.86,1.25,cytosol,14.74,3.24,1.08,cytosol,18.43,9.01,1.35,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF KIP3/YGL216W"
YOR277C,YOR277C,13.31,3.440437918,below threshold,13.19838,3.415674563,below threshold,13.441065,3.459613228,below threshold,15.92,5.6,1.19,cytosol,14.82,2.69,1.11,cytosol,15.01,2.95,1.12,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene CAF20"
YAL069W,YAL069W,13.33,3.910084514,below threshold,13.204374,4.223910848,below threshold,13.46161,3.690424231,below threshold,16.13,5.05,1.21,cytosol,13.03,3.66,0.97,cytosol,17.19,5.32,1.28,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YKL051W,SFK1,13.22,4.015078453,below threshold,13.2068015,4.377137343,below threshold,13.241936,3.188980315,below threshold,13.74,4.27,1.03,cytosol,14.71,2.29,1.11,cytosol,14.26,3.15,1.07,cytosol,"Plasma membrane protein that may act together with or upstream of Stt4p to generate normal levels of the essential phospholipid PI4P, at least partially mediates proper localization of Stt4p to the plasma membrane"
YGL100W,SEH1,12.61,3.932553741,below threshold,13.224377,4.229465098,below threshold,12.011417,2.952209484,below threshold,14.32,6.74,1.13,cytosol,13.97,2.65,1.1,cytosol,18.9,4.28,1.49,cytosol,"Nuclear pore protein that is part of the evolutionarily conserved Nup84p complex (Nup84p, Nup85p, Nup120p, Nup145p, and Seh1p); homologous to Sec13p"
YLR217W,YLR217W,13.88,3.657584561,below threshold,13.2258545,3.710022876,below threshold,14.548193,3.518949133,below threshold,14.53,4.55,1.04,cytosol,15.52,3.75,1.11,cytosol,18.44,9.59,1.32,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene CPR6"
YPL044C,YPL044C,15.53,4.083895951,below threshold,13.2261305,3.279359807,below threshold,17.844086,3.62188722,below threshold,16.13,5.59,1.03,cytosol,16.43,3.44,1.05,cytosol,20.16,2.97,1.29,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene NOP4/YPL043W"
YDR455C,YDR455C,13.16,3.502722997,below threshold,13.232794,3.474434249,below threshold,13.102325,3.530294819,below threshold,15.6,5.31,1.18,cytosol,14.94,3.32,1.13,cytosol,18.62,3.16,1.41,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YDR456W"
YLR149C-A,YLR149C-A,13.08,3.268855716,below threshold,13.238122,3.333366885,below threshold,12.932489,3.221102708,below threshold,16.5,6.42,1.26,cytosol,14.67,3.18,1.12,cytosol,16.58,10.06,1.26,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YOL085C,YOL085C,14.4,3.970360735,below threshold,13.254171,3.974141408,below threshold,15.555555,3.749512957,below threshold,16.47,5.15,1.14,cytosol,16.06,3.51,1.11,cytosol,17.81,9.32,1.23,cytosol,"Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data; partially overlaps the dubious gene YOL085W-A"
YCR022C,YCR022C,13.08,3.528197408,below threshold,13.255,3.578550373,below threshold,12.916294,3.486270076,below threshold,17.05,6.52,1.3,cytosol,15.16,3.26,1.15,cytosol,16.36,6.4,1.25,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YCR022C is not an essential gene"
YDR491C,YDR491C,12.33,3.761227417,below threshold,13.269231,3.825826192,below threshold,11.40851,3.400207423,below threshold,14.41,4.4,1.16,cytosol,13.38,3.78,1.08,cytosol,17.62,5.09,1.42,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YFR029W,PTR3,13.55,4.344933858,below threshold,13.2720065,4.68669181,below threshold,13.858369,3.705810499,below threshold,14.2,5.63,1.04,cytosol,14.96,3.18,1.1,cytosol,17.72,6.55,1.3,cytosol,"Component of the SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p), which senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes"
YIL111W,COX5B,12.66,3.784195347,below threshold,13.2831655,3.851402264,below threshold,12.057143,3.58957622,below threshold,15.01,4.66,1.18,cytosol,14.13,4.05,1.11,cytosol,17.14,6.31,1.35,cytosol,"Subunit Vb of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; predominantly expressed during anaerobic growth while its isoform Va (Cox5Ap) is expressed during aerobic growth"
YLR160C,ASP3-4,13.29,3.463972109,below threshold,13.285486,3.471323476,below threshold,13.304762,3.461205465,below threshold,17.05,5.1,1.28,cytosol,17.08,3.45,1.28,cytosol,23.49,5.17,1.76,cytosol,"Cell-wall L-asparaginase II, involved in asparagine catabolism; expression is induced during nitrogen starvation; four copies of ASP3 are present in the genome reference strain S288C"
YML066C,SMA2,13.78,4.257357124,below threshold,13.3125,4.010270241,below threshold,14.259615,4.336181816,below threshold,15.66,4.77,1.13,cytosol,18.21,3.44,1.32,cytosol,21.75,4.79,1.57,cytosol,Meiosis-specific prospore membrane protein; required to produce bending force necessary for proper assembly of the prospore membrane during sporulation
YIR020C,YIR020C,14.52,4.371658326,below threshold,13.3179675,4.53825302,below threshold,15.746032,3.955834956,below threshold,16.75,5.67,1.15,cytosol,16.36,2.82,1.12,cytosol,15.74,4.17,1.08,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR282C,YLR282C,14.57,3.749168105,below threshold,13.329109,3.66121998,below threshold,15.8266385,3.406049326,below threshold,17.22,5.39,1.18,cytosol,15.75,3.42,1.08,cytosol,16.39,3.57,1.12,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data; deletion mutation confers an increase in Ty1 transposition"
YDR133C,YDR133C,14.32,3.57180785,below threshold,13.342875,3.69515504,below threshold,15.3079905,3.319140708,below threshold,17.05,5.79,1.19,cytosol,17.31,3.16,1.2,cytosol,18.76,4.52,1.31,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps YDR134C"
YDL194W,SNF3,13.69,3.922277982,below threshold,13.3484585,3.961071444,below threshold,14.05845,3.828536153,below threshold,14.5,5.02,1.05,cytosol,16.07,2.51,1.17,cytosol,16.54,7.47,1.2,cytosol,Plasma membrane low glucose sensor that regulates glucose transport; contains 12 predicted transmembrane segments and a long C-terminal tail required for induction of hexose transporters; also senses fructose and mannose; similar to Rgt2p
YLR251W,SYM1,14.98,3.412875283,below threshold,13.360825,3.030211895,below threshold,16.618706,3.023797191,below threshold,15.44,5.66,1.03,cytosol,16.5,3.38,1.1,cytosol,17.95,3.29,1.19,cytosol,Protein required for ethanol metabolism; induced by heat shock and localized to the inner mitochondrial membrane; homologous to mammalian peroxisomal membrane protein Mpv17
YHL018W,YHL018W,13.35,4.024635421,below threshold,13.37594,3.793164774,below threshold,13.3394525,4.190153861,below threshold,18.19,6.5,1.36,cytosol,17.37,3.8,1.3,cytosol,15.97,7.87,1.19,cytosol,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria and is induced in response to the DNA-damaging agent MMS
YLR461W,PAU4,14.13,3.691277899,below threshold,13.384031,3.958407843,below threshold,14.896496,3.368532411,below threshold,17.23,5.66,1.21,cytosol,16.97,3.67,1.2,cytosol,17.28,9.59,1.22,cytosol,"Member of the seripauperin multigene family encoded mainly in subtelomeric regions; active during alcoholic fermentation, regulated by anaerobiosis, negatively regulated by oxygen, repressed by heme"
YLR261C,VPS63,13.89,3.710279624,below threshold,13.4070455,3.439346665,below threshold,14.392207,3.977451055,below threshold,17.65,5.88,1.27,cytosol,16.22,3.08,1.16,cytosol,16.1,4.23,1.15,cytosol,"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 98% of ORF overlaps the verified gene YPT6; deletion causes a vacuolar protein sorting defect"
YKR061W,KTR2,13.27,3.548990336,below threshold,13.426574,3.829523217,below threshold,13.1264455,3.12600966,below threshold,15,4.83,1.13,cytosol,14.13,2.76,1.06,cytosol,20.28,3.96,1.52,cytosol,Mannosyltransferase involved in N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family
YER097W,YER097W,14.22,4.133369461,below threshold,13.427273,3.98358727,below threshold,15.0304295,4.194323587,below threshold,14.73,6.63,1.03,cytosol,15.8,3.91,1.11,cytosol,16.83,8.28,1.18,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR465C,BSC3,14.14,3.922970496,below threshold,13.441748,3.217741408,below threshold,14.8529985,4.168546066,below threshold,16.68,5.26,1.17,cytosol,16.78,3.7,1.18,cytosol,16.23,6.83,1.14,cytosol,"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 100% of YLR465C overlaps the uncharacterized ORF YLR464W and 86% of YLR465C overlaps the verified gene YRF1-4"
YJL150W,YJL150W,13.72,4.266488457,below threshold,13.445737,4.429862709,below threshold,14.0192205,4.083765219,below threshold,16.71,5.1,1.21,cytosol,14.47,2.89,1.05,cytosol,15.19,6.27,1.1,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YDR112W,IRC2,13.95,3.778734315,below threshold,13.4479205,3.657523207,below threshold,14.476271,3.878704686,below threshold,16.16,5.79,1.15,cytosol,17.11,3.64,1.22,cytosol,20.31,5.16,1.45,cytosol,"Dubious open reading frame, unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps YDR111C; null mutant displays increased levels of spontaneous Rad52p foci"
YPL165C,SET6,14.23,3.662365938,below threshold,13.4626725,3.833482682,below threshold,15.005465,3.205973218,below threshold,18.39,5.91,1.29,cytosol,17.87,3.39,1.25,cytosol,23.1,5.5,1.62,cytosol,"SET domain protein of unknown function; deletion heterozygote is sensitive to compounds that target ergosterol biosynthesis, may be involved in compound availability"
YLR415C,YLR415C,14.53,4.013210726,below threshold,13.4717945,3.969745287,below threshold,15.598196,3.829302442,below threshold,16.59,5.68,1.14,cytosol,15.47,3.38,1.06,cytosol,15.55,3.82,1.07,cytosol,Putative protein of unknown function; YLR415C is not an essential gene
YLR162W,YLR162W,14.09,3.419021089,below threshold,13.475983,3.56201762,below threshold,14.716814,3.16182934,below threshold,17.57,5.77,1.24,cytosol,16.88,3.49,1.19,cytosol,15.62,5.54,1.1,cytosol,Putative protein of unknown function; overexpression confers resistance to the antimicrobial peptide MiAMP1
YDL023C,YDL023C,14.64,3.62298991,below threshold,13.4840755,3.373525008,below threshold,15.803125,3.635272755,below threshold,15.01,4.51,1.02,cytosol,13.22,3.67,0.9,cytosol,17.7,9.24,1.2,cytosol,"Dubious open reading frame, unlikely to encode a protein; not conserved in other Saccharomyces species; overlaps the verified gene GPD1; deletion confers sensitivity to GSAO; deletion in cyr1 mutant results in loss of stress resistance"
YPR081C,GRS2,13.57,3.742207812,below threshold,13.485714,3.815404031,below threshold,13.663068,3.674295889,below threshold,18.96,7.22,1.39,cytosol,17.3,3.69,1.27,cytosol,18.79,4.65,1.38,cytosol,"Protein with sequence similarity to Grs1p, which is a glycyl-tRNA synthetase; cannot substitute for Grs1p; possible pseudogene that is expressed at very low levels"
YCR011C,ADP1,14.17,4.235640993,below threshold,13.490273,4.232355348,below threshold,14.8584725,4.155852228,below threshold,16.47,5.97,1.16,cytosol,17.1,3.14,1.2,cytosol,19.92,5.54,1.4,cytosol,Putative ATP-dependent permease of the ABC transporter family of proteins
YBL048W,RRT1,13.79,3.914035429,below threshold,13.5022715,3.769678267,below threshold,14.080358,4.019250759,below threshold,19.56,6.31,1.41,cytosol,16.51,3.71,1.19,cytosol,17.13,5.87,1.24,cytosol,"Identified in a screen for mutants with increased levels of rDNA transcription; dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data"
YKR050W,TRK2,14.9,4.437901304,below threshold,13.503461,4.312544129,below threshold,16.3191165,4.181738645,below threshold,13.97,4.98,0.93,cytosol,16.14,2.66,1.08,cytosol,17.83,4.84,1.19,cytosol,Component of the Trk1p-Trk2p potassium transport system
YKR032W,YKR032W,13.71,3.665240014,below threshold,13.5085705,3.826204477,below threshold,13.922747,3.54424807,below threshold,15.68,5.31,1.14,cytosol,15.03,3.18,1.09,cytosol,18.16,8.66,1.32,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YPL278C,YPL278C,13.79,3.526831404,below threshold,13.5157535,3.799261595,below threshold,14.08,3.235770634,below threshold,15.84,5.04,1.14,cytosol,14.98,3.2,1.08,cytosol,15.33,6.61,1.11,cytosol,Putative protein of unknown function; gene expression regulated by copper levels
YLR269C,YLR269C,14.14,3.720171108,below threshold,13.516728,3.532877481,below threshold,14.782462,3.774413681,below threshold,16.96,6.07,1.19,cytosol,16.46,3.51,1.16,cytosol,16.45,9.4,1.16,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YIL102C,YIL102C,13.03,4.397665324,below threshold,13.53872,4.18437402,below threshold,12.530303,4.456682037,below threshold,16.45,5.97,1.26,cytosol,16.12,3.8,1.23,cytosol,17.08,6.33,1.31,cytosol,Putative protein of unknown function
