Protein Description,Probability Score,PSMs,Unique Peptides,"TMT-130 Intensity0 min","TMT-126 Intensity30 min","TMT-127 Intensity60 min","TMT-128 Intensity90 min","TMT-129 Intensity120 min","TMT-131 Intensity240 min",Quantified PSMs,Quantified Unique Peptides
"YBL005W-B YBL005W-B SGDID:S000002147, Chr II from 221333-222637,222639-226601, transposable_element_gene, ""Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes""",0,135,41,6446419.214,7052153.825,6858611.791,6093857.231,6880330.785,5654064.495,6,5
"YOL086C ADH1 SGDID:S000005446, Chr XV from 160594-159548, reverse complement, Verified ORF, ""Alcohol dehydrogenase, fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway""",0,2608,33,781859947.1,688199606.7,691745677.5,737541224.2,765025914.5,611396501,1229,26
"YOR153W PDR5 SGDID:S000005679, Chr XV from 619841-624376, Verified ORF, ""Plasma membrane ATP-binding cassette (ABC) transporter, multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth""",0,120,34,47464835.83,44243898.66,47055068.02,48176213.26,47056346.57,46457967.23,44,21
"YJL008C CCT8 SGDID:S000003545, Chr X from 421656-419950, reverse complement, Verified ORF, ""Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo""",0,89,27,27858597.31,26492963.98,27428240.06,27486790.96,26286671.52,23911480.56,26,15
"YCL030C HIS4 SGDID:S000000535, Chr III from 68333-65934, reverse complement, Verified ORF, ""Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase, phosphoribosyl-AMP cyclohydrolase, and histidinol dehydrogenase activities; catalyzes the second, third, ninth and tenth steps in histidine biosynthesis""",0,178,44,44233891.55,45145866.29,44439780.95,51367503,51760994.89,53856707.92,88,36
"YER091C MET6 SGDID:S000000893, Chr V from 342163-339860, reverse complement, Verified ORF, ""Cobalamin-independent methionine synthase, involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs""",0,478,60,189772108.6,182561838.6,168966469.5,178753245,172998343.9,144919397.4,211,48
"YMR120C ADE17 SGDID:S000004727, Chr XIII from 509279-507501, reverse complement, Verified ORF, ""Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade16p; ade16 ade17 mutants require adenine and histidine""",0,188,39,40757854.61,39534546.03,37919383.01,37196205.4,36084301.05,30453256.4,69,24
"YPR033C HTS1 SGDID:S000006237, Chr XVI from 639016-637376, reverse complement, Verified ORF, ""Cytoplasmic and mitochondrial histidine tRNA synthetase; encoded by a single nuclear gene that specifies two messages; efficient mitochondrial localization requires both a presequence and an amino-terminal sequence""",0,97,27,25000685.67,25751627.31,22372998.26,21672603.9,20371532.32,22390869.48,51,18
"YMR229C RRP5 SGDID:S000004842, Chr XIII from 731122-725933, reverse complement, Verified ORF, ""RNA binding protein with preference for single stranded tracts of U's involved in synthesis of both 18S and 5.8S rRNAs; component of both the ribosomal small subunit (SSU) processosome and the 90S preribosome""",0,168,59,65724964.82,61397517.29,59178236.82,57714839.46,54442891.28,53518119.98,73,40
"YLR106C MDN1 SGDID:S000004096, Chr XII from 363739-349007, reverse complement, Verified ORF, ""Huge dynein-related AAA-type ATPase (midasin), forms extended pre-60S particle with the Rix1 complex (Rix1p-Ipi1p-Ipi3p), may mediate ATP-dependent remodeling of 60S subunits and subsequent export from nucleoplasm to cytoplasm""",0,52,30,11806413.11,10577191.77,10711324.36,10390244.55,9864197.886,10023958.33,12,10
"YDL171C GLT1 SGDID:S000002330, Chr IV from 155641-149204, reverse complement, Verified ORF, ""NAD(+)-dependent glutamate synthase (GOGAT), synthesizes glutamate from glutamine and alpha-ketoglutarate; with Gln1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source""",0,172,63,48524897.19,47598787.53,45780168.53,43850498.36,41970376.55,48982580.58,71,37
"YDL126C CDC48 SGDID:S000002284, Chr IV from 238664-236157, reverse complement, Verified ORF, ""ATPase in ER, nuclear membrane and cytosol with homology to mammalian p97; in a complex with Npl4p and Ufd1p participates in retrotranslocation of ubiquitinated proteins from the ER into the cytosol for degradation by the proteasome""",0,329,57,108169278.4,109057329.6,119203393.1,124525470.2,126572893.1,119673862.1,158,45
"YKL081W TEF4 SGDID:S000001564, Chr XI from 282535-282739,283066-284099, Verified ORF, ""Translation elongation factor EF-1 gamma""",0,432,33,194105791.7,179106692,183875154.3,182643412.8,186432006.7,156201860.9,231,27
"YDL223C HBT1 SGDID:S000002382, Chr IV from 60406-57266, reverse complement, Verified ORF, ""Substrate of the Hub1p ubiquitin-like protein that localizes to the shmoo tip (mating projection); mutants are defective for mating projection formation, thereby implicating Hbt1p in polarized cell morphogenesis""",0,59,27,7657821.206,9610548.883,19161600.96,22663313.61,22220940.45,18512638.82,18,11
"YKL104C GFA1 SGDID:S000001587, Chr XI from 245017-242864, reverse complement, Verified ORF, ""Glutamine-fructose-6-phosphate amidotransferase, catalyzes the formation of glucosamine-6-P and glutamate from fructose-6-P and glutamine in the first step of chitin biosynthesis""",0,87,25,24048038.82,22229768.76,24574430.93,25918259.15,26697754.06,24141931.44,36,12
"YDL145C COP1 SGDID:S000002304, Chr IV from 198177-194572, reverse complement, Verified ORF, ""Alpha subunit of COPI vesicle coatomer complex, which surrounds transport vesicles in the early secretory pathway""",0,78,25,31676391.41,31127668.73,31109128.95,31897507.61,32382667.07,33463632.54,37,17
"YBL024W NCL1 SGDID:S000000120, Chr II from 172537-174591, Verified ORF, ""S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase, methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; similar to Nop2p and human proliferation associated nucleolar protein p120""",0,107,28,30946844.98,31500846.44,29930990.73,30682058.29,28993881.53,29677878.91,56,18
"YDR127W ARO1 SGDID:S000002534, Chr IV from 704482-709248, Verified ORF, ""Pentafunctional arom protein, catalyzes steps 2 through 6 in the biosynthesis of chorismate, which is a precursor to aromatic amino acids""",0,142,47,38582641.01,36170730.75,37154684.53,43848628.32,46661421.7,56510696.93,58,27
"YNR016C ACC1 SGDID:S000005299, Chr XIV from 661376-654675, reverse complement, Verified ORF, ""Acetyl-CoA carboxylase, biotin containing enzyme that catalyzes the carboxylation of acetyl-CoA to form malonyl-CoA; required for de novo biosynthesis of long-chain fatty acids""",0,269,73,119896799.3,113137346.8,109123036.6,106299561.1,101309657.8,91386591.58,117,49
"YDR037W KRS1 SGDID:S000002444, Chr IV from 525438-527213, Verified ORF, ""Lysyl-tRNA synthetase""",0,352,40,88292227.27,81894731.99,85173665.3,87285866.06,84660790.43,79069339.26,136,32
"YOR341W RPA190 SGDID:S000005868, Chr XV from 960984-965978, Verified ORF, ""RNA polymerase I subunit; largest subunit of RNA polymerase I""",0,145,43,46622154.43,43829314.56,43137468.28,41686651.12,40184335.61,40266639.65,65,27
"YHR020W YHR020W SGDID:S000001062, Chr VIII from 143989-146055, Verified ORF, ""Protein of unknown function that may interact with ribosomes, based on co-purification experiments; has similarity to proline-tRNA ligase; YHR020W is an essential gene""",0,246,40,116562026,110327156,107339852.2,107863571.4,106860221.7,100322174.4,149,32
"YDR012W RPL4B SGDID:S000002419, Chr IV from 471851-472939, Verified ORF, ""Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl4Ap and has similarity to E. coli L4 and rat L4 ribosomal proteins""",0,501,22,12815073,15245568.71,12018407.83,12320780.83,11773696.48,12498719.37,19,2
"YLR060W FRS1 SGDID:S000004050, Chr XII from 260980-262767, Verified ORF, ""Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs2p to generate active enzyme; able to hydrolyze mis-aminoacylated tRNA-Phe, which could contribute to translational quality control""",0,136,24,38262888.69,37141010.19,36892095.26,37796753.92,37056902.66,35739515.85,67,21
"YER110C KAP123 SGDID:S000000912, Chr V from 382099-378758, reverse complement, Verified ORF, ""Karyopherin beta, mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore, nucleus, and cytoplasm; exhibits genetic interactions with RAI1""",0,209,38,82095831.33,71128032.38,72321709.19,69825665.34,67326095.88,58981334.25,78,27
"YDL195W SEC31 SGDID:S000002354, Chr IV from 107209-111030, Verified ORF, ""Essential phosphoprotein component (p150) of the COPII coat of secretory pathway vesicles, in complex with Sec13p; required for ER-derived transport vesicle formation""",0,106,32,44574460.29,42444449.84,44790392.87,48618362.58,48285738.86,48713036.95,48,22
"YMR012W CLU1 SGDID:S000004614, Chr XIII from 291133-294966, Verified ORF, ""eIF3 component of unknown function; deletion causes defects in mitochondrial organization but not in growth or translation initiation, can rescue cytokinesis and mitochondrial organization defects of the Dictyostelium cluA- mutant""",0,156,44,46571640.24,42170193.48,44535248.01,47489256.47,46989872.22,44379475.68,63,29
"YIL053W RHR2 SGDID:S000001315, Chr IX from 255113-255865, Verified ORF, ""Constitutively expressed isoform of DL-glycerol-3-phosphatase; involved in glycerol biosynthesis, induced in response to both anaerobic and, along with the Hor2p/Gpp2p isoform, osmotic stress""",0,454,21,63584231.89,75919994.14,68166737.03,65117693.95,67598144.72,77642092.85,167,12
"YFL004W VTC2 SGDID:S000001890, Chr VI from 131805-134291, Verified ORF, ""Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in protein localization and non-autophagic vacuolar fusion""",0,76,27,38256063.67,37495664,36073305.89,35297318.18,33979543.09,32208081.05,34,17
"YOR361C PRT1 SGDID:S000005888, Chr XV from 1017650-1015359, reverse complement, Verified ORF, ""Subunit of the core complex of translation initiation factor 3(eIF3), essential for translation; part of a subcomplex (Prt1p-Rpg1p-Nip1p) that stimulates binding of mRNA and tRNA(i)Met to ribosomes""",0,90,33,46842942.32,47021070.87,46550576.85,46138263.19,43744375.54,44594955.1,35,18
"YOR204W DED1 SGDID:S000005730, Chr XV from 722912-724726, Verified ORF, ""ATP-dependent DEAD (Asp-Glu-Ala-Asp)-box RNA helicase, required for translation initiation of all yeast mRNAs; mutations in human DEAD-box DBY are a frequent cause of male infertility""",0,224,31,69411299.21,71764058.31,72873307.76,72631162.47,69598951.42,76535226.23,75,25
"YER036C ARB1 SGDID:S000000838, Chr V from 225198-223366, reverse complement, Verified ORF, ""ATPase of the ATP-binding cassette (ABC) family involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p; shuttles from nucleus to cytoplasm, physically interacts with Tif6p, Lsg1p""",0,167,29,76554899.93,74393117.75,71057217.97,70531375.98,68172922.65,72490661.45,84,25
"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413641-414913,415916-416283, Verified ORF, ""Essential ATP-dependent RNA helicase of the DEAD-box protein family, involved in nonsense-mediated mRNA decay and rRNA processing""",0,130,31,34936607.52,36280325.7,33740017.46,31515020.24,28685196.7,33698597.35,62,19
"YNL132W KRE33 SGDID:S000005076, Chr XIV from 375323-378493, Verified ORF, ""Essential protein of unknown function; heterozygous mutant shows haploinsufficiency in K1 killer toxin resistance""",0,96,32,31917309.56,29632925.2,28540648.31,28829609.96,27508803.68,24682629.04,44,23
"YHR174W ENO2 SGDID:S000001217, Chr VIII from 451327-452640, Verified ORF, ""Enolase II, a phosphopyruvate hydratase that catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression is induced in response to glucose""",0,6043,55,1091734745,1138475441,967914162.6,906917253.7,887361373.7,808222899.1,1677,41
"YJR139C HOM6 SGDID:S000003900, Chr X from 690514-689435, reverse complement, Verified ORF, ""Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase), dimeric enzyme that catalyzes the third step in the common pathway for methionine and threonine biosynthesis; enzyme has nucleotide-binding, dimerization and catalytic regions""",0,278,26,88558460.26,88371796.98,87511168.7,81674959.2,89062152.27,96416240.53,157,22
"YBR084C-A RPL19A SGDID:S000002156, Chr II from 415255-415254,414747-414180, reverse complement, Verified ORF, ""Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl19Bp and has similarity to rat L19 ribosomal protein; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal""",0,309,23,174069774.3,156713360.4,150101005,153415860.9,148333801.3,152124556.8,193,22
"YNL247W YNL247W SGDID:S000005191, Chr XIV from 182876-185179, Verified ORF, ""Cysteinyl-tRNA synthetase; may interact with ribosomes, based on co-purification experiments""",0,113,35,39973358.43,39006268.2,38673731.85,39377108.05,38718008.25,39939557.52,48,20
"YDR158W HOM2 SGDID:S000002565, Chr IV from 770355-771452, Verified ORF, ""Aspartic beta semi-aldehyde dehydrogenase, catalyzes the second step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis""",0,188,22,49305197.03,56365511.81,52145951.12,54725774.95,59232413.85,75344221.37,100,18
