Majority protein IDs,Protein names,Gene names,ORF,Peptides,Unique peptides,Sequence coverage [%],PEP,Copy number
Q07963,E3 ubiquitin-protein ligase UBR2,UBR2,YLR024C,5,5,3.6,1.82E-22,12.78969519
Q12212,Protein SIA1,SIA1,YOR137C,1,1,1.9,4.67E-05,12.80442632
Q99332,Protein HPH1,FRT1,YOR324C,1,1,2.7,0.00052257,13.04590765
P53341;P38158,Alpha-glucosidase MAL12;Alpha-glucosidase MAL32,MAL12;MAL32,YBR299W;YGR292W,2,2,3.1,4.23E-07,13.05641956
P33550,Probable mannosyltransferase KTR2,KTR2,YKR061W,1,1,2.6,0.00025164,13.19977391
Q01846,Structural protein MDM1,MDM1,YML104C,3,3,2.9,2.78E-10,13.36270686
Q03935,AP-1-like transcription factor YAP6,YAP6,YDR259C,1,1,5,0.0004216,13.52484972
P53872,Uncharacterized protein YNL190W,,YNL190W,1,1,6.9,6.08E-06,13.71102485
P32641,Checkpoint protein RAD24,RAD24,YER173W,2,2,3.8,3.68E-10,13.72387332
P52960,Peroxisome proliferation transcriptional regulator,PIP2,YOR363C,3,3,3.2,9.16E-13,13.80126402
P38960,Protein STN1,STN1,YDR082W,3,3,7.1,1.03E-14,13.85543871
Q06200,Protein ECM7,ECM7,YLR443W,1,1,6.7,8.92E-09,13.88987485
P36093,Putative transcription factor PHD1,PHD1,YKL043W,3,2,11.5,4.51E-14,14.09881087
Q06208,Protein RIF2,RIF2,YLR453C,1,1,2.5,0.00014698,14.10080204
P47175,Probable transcription factor HMS2,HMS2,YJR147W,2,2,5.9,1.36E-06,14.17285492
P36002,Serine/threonine-protein kinase PTK1/STK1,PTK1,YKL198C,3,3,5.4,7.26E-13,14.37507067
P53127,SANT domain-containing protein 2,SNT2,YGL131C,8,8,6.6,4.31E-20,14.43288141
Q08231,Nuclear mRNA export protein THP1,THP1,YOL072W,2,2,5.9,5.16E-12,14.48673691
Q12421,Autophagy-related protein 31,CIS1,YDR022C,1,1,4.1,0.0011052,14.49388409
P31381,Nucleoside transporter FUN26,FUN26,YAL022C,2,2,3.5,8.93E-09,14.62955924
P30620,DNA cross-link repair protein PSO2/SNM1,PSO2,YMR137C,3,3,6.1,2.09E-11,14.71622118
P40451,Altered inheritance of mitochondria protein 20,AIM20,YIL158W,1,1,7.8,1.55E-06,14.7800143
P53059,"Alpha-1,3-mannosyltransferase MNT2",MNT2,YGL257C,3,3,7.3,3.02E-12,14.86212801
P40186,PHO85 cyclin-7,PCL7,YIL050W,1,1,5.3,2.37E-06,15.01407736
P53961,Phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI15,GPI15,YNL038W,1,1,3.9,0.00062411,15.24110205
Q04396,Lipid phosphate phosphatase 1,LPP1,YDR503C,1,1,3.3,0.0014223,15.26291764
P38953,DNA repair protein RAD55,RAD55,YDR076W,1,1,3.7,6.78E-05,15.28538308
P38191,Protein yippee-like MOH1,MOH1,YBL049W,1,1,8.7,3.04E-05,15.3263319
Q03236,Uncharacterized protein YMR187C,,YMR187C,3,3,6.7,4.39E-08,15.34657126
P09368,"Proline dehydrogenase, mitochondrial",PUT1,YLR142W,2,2,5,1.05E-06,15.40923265
P12866,Alpha-factor-transporting ATPase,STE6,YKL209C,4,4,3.6,1.31E-14,15.48643712
Q08992;Q08914;Q04902,Probable chaperone protein HSP32;Probable chaperone protein HSP33;Protein SNO4,HSP32;HSP33;SNO4,YMR322C;YOR391C;YPL280W,2,2,8.4,3.91E-05,15.48826529
Q03220,Polynucleotide 5-triphosphatase,CTL1,YMR180C,2,2,6.6,1.03E-06,15.66260433
Q12469,Serine/threonine-protein kinase SKM1,SKM1,YOL113W,6,5,11.9,3.84E-19,15.73815927
P32622,ATP-NADH kinase YEF1,YEF1,YEL041W,2,2,6.9,5.21E-09,15.83353852
P39875,Exodeoxyribonuclease 1,EXO1,YOR033C,4,4,8.5,2.67E-11,15.90921262
Q07729,Probable guanine deaminase,GUD1,YDL238C,4,4,8.8,1.12E-08,15.99814694
P40020,Factor interacting with REF2,FIR1,YER032W,5,5,6.2,2.07E-11,16.13464545
Q08485,Nicotinamide riboside transporter 1,NRT1,YOR071C,4,2,5.4,1.06E-13,16.21104878
Q02983,RNA polymerase I-specific transcription initiation factor RRN5,RRN5,YLR141W,2,2,8,2.45E-07,16.28305258
P38346,Probable target of rapamycin complex 2 subunit BIT2,BIT2,YBR270C,2,2,5.1,8.17E-06,16.28772848
P47144,Protein ECM27,ECM27,YJR106W,1,1,1.7,7.34E-06,16.4629641
P38887,Uncharacterized protein YHR202W,YHR202W,YHR202W,2,2,5.1,1.34E-09,16.46862719
P36134,Uncharacterized protein YKR041W,YKR041W,YKR041W,1,1,5.2,1.60E-05,16.53268538
P40512,Cop9 signalosome complex subunit 11,PCI8,YIL071C,2,2,4.3,3.39E-08,16.62041268
P50077,Calcium-channel protein CCH1,CCH1,YGR217W,5,5,3.6,1.12E-30,16.70366228
P53306,Phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1,GPI1,YGR216C,2,2,3.9,5.02E-07,16.86297629
Q08471,G1-specific transcription factors activator MSA1,MSA1,YOR066W,4,4,8.3,8.60E-15,17.04604796
Q04638,Translation termination inhibitor protein ITT1,ITT1,YML068W,2,2,5.8,1.20E-07,17.05018423
P03069,General control protein GCN4,GCN4,YEL009C,1,1,7.1,2.42E-05,17.07557116
P25364,Forkhead transcription factor HCM1,HCM1,YCR065W,2,2,3.9,7.12E-07,17.14228013
P22516,ATP-dependent RNA helicase CHL1,CHL1,YPL008W,5,5,6.6,6.43E-12,17.19925449
P32862,Glucose transport transcription regulator RGT1,RGT1,YKL038W,3,3,4.2,9.22E-07,17.20890279
P53234,Uncharacterized protein YGR053C,YGR053C,YGR053C,2,2,9.2,1.94E-11,17.26922505
Q07959,ADIPOR-like receptor IZH3,IZH3,YLR023C,1,1,2.6,0.000216,17.34822787
Q12042,Vacuolar membrane protein YPL162C,YPL162C,YPL162C,1,1,3.7,0.00053711,17.61091591
P53749,Uncharacterized transcriptional regulatory protein YNR063W,,YNR063W,3,3,6.6,4.97E-17,17.75506186
P47030,Protein TAX4,TAX4,YJL083W,3,3,7.1,5.87E-10,17.94754399
P08153,Transcriptional factor SWI5,SWI5,YDR146C,3,3,5.1,6.80E-12,18.21460663
Q07651,SUR7 family protein FMP45,FMP45,YDL222C,1,1,7.4,7.86E-16,18.3193557
P32562,Cell cycle serine/threonine-protein kinase CDC5/MSD2,CDC5,YMR001C,3,3,4.3,2.75E-11,18.5410642
Q12516,Uncharacterized membrane protein YDL133W,,YDL133W,1,1,2.1,0.0020386,19.13015851
Q04149,Crossover junction endonuclease MUS81,MUS81,YDR386W,3,3,5.4,3.21E-06,19.2703229
Q04052,Transcriptional activator ARO80,ARO80,YDR421W,4,4,7.9,5.06E-19,19.28521265
P41913,Protein GDS1,GDS1,YOR355W,5,5,15.3,3.65E-13,19.30631805
P38157,Maltose fermentation regulatory protein MAL33,MAL33,YBR297W,1,1,3,8.35E-09,19.35830251
P53153,Probable endonuclease LCL3,LCL3,YGL085W,2,2,6.9,3.98E-06,19.42211147
P53823;P43544,Probable glutamine amidotransferase SNO2;Probable glutamine amidotransferase SNO3,SNO2;SNO3,YFL060C;YNL334C,1,1,5.4,4.64E-05,19.4468029
Q08003,Regulator of free ubiquitin chains 1,RFU1,YLR073C,1,1,5.5,0.00010112,19.49951288
P38111,Serine/threonine-protein kinase MEC1,MEC1,YBR136W,8,8,3.8,4.02E-37,19.68724384
P40560,Ankyrin repeat-containing protein YIL001W,,YIL001W,3,3,7.8,4.30E-14,19.9263384
P35735,Protein SFK1,SFK1,YKL051W,1,1,3.7,2.38E-05,20.00840226
Q04689,Altered inheritance of mitochondria protein 32,AIM32,YML050W,3,3,12.5,7.48E-11,20.05889709
Q08957,Iron-regulated transcriptional activator AFT2,AFT2,YPL202C,3,3,10.3,1.84E-06,20.06833127
Q02207,Peroxisomal hydratase-dehydrogenase-epimerase;2-enoyl-CoA hydratase;(3R)-3-hydroxyacyl-CoA dehydrogenase,FOX2,YKR009C,4,4,4.6,8.34E-12,20.13645243
Q12138,Putative uncharacterized protein YLR125W,,YLR125W,2,2,16.2,7.20E-07,20.14180486
P32901,Peptide transporter PTR2,PTR2,YKR093W,3,3,5,1.47E-14,20.21348006
P53943,Probable transporter AQR1,AQR1,YNL065W,2,2,4.6,3.50E-07,20.32760835
P28003,SWIRM domain-containing protein FUN19,FUN19,YAL034C,2,2,6.8,9.55E-10,20.53487686
Q04215,Transposon Ty1-MR1 Gag polyprotein;Capsid protein;Gag-p4,TY1A-MR1,YMR046C,9,0,33.2,6.06E-227,20.5954006
Q06636,Glycosylphosphatidylinositol anchor biosynthesis protein 11,GPI11,YDR302W,1,1,8.2,5.04E-07,20.63888793
P05085,Arginine metabolism regulation protein II,ARG81,YML099C,5,5,6.1,7.40E-22,20.86872177
Q03792,Calpain-like protease 1,RIM13,YMR154C,4,4,6.3,4.17E-16,21.28368705
P36115,Increased rDNA silencing protein 4,IRS4,YKR019C,3,3,6.8,5.52E-14,21.33260941
P53134,Putative oligopeptide transporter YGL114W,YGL114W,YGL114W,1,1,2.9,6.70E-07,21.33713471
P53932,Uncharacterized transporter YNL095C,,YNL095C,2,2,7,5.77E-18,21.41071211
P20134,Flocculation suppression protein,SFL1,YOR140W,3,3,5,2.61E-10,21.62550502
P25335,Allantoicase,DAL2,YIR029W,2,2,5.5,1.29E-07,21.63134208
P32789,Serine/threonine-protein kinase Haspin homolog ALK2,ALK2,YBL009W,3,3,6.1,1.14E-13,21.79150352
Q03687,Uncharacterized membrane protein YMR010W,,YMR010W,2,2,5.7,2.80E-07,21.84075532
P32522,"Pentatricopeptide repeat-containing protein PET309, mitochondrial",PET309,YLR067C,3,3,2.6,1.24E-08,21.8925241
P03875,Putative COX1/OXI3 intron 1 protein,aI1,Q0050,4,4,5.5,1.14E-07,21.90714245
P47821,RNA polymerase II holoenzyme cyclin-like subunit,SSN8,YNL025C,1,1,3.1,0.0033186,22.15990068
P38285,Antagonist of mitotic exit network protein 1,AMN1,YBR158W,3,3,6.9,1.12E-20,22.19272721
P19145,General amino-acid permease GAP1,GAP1,YKR039W,2,2,4.5,2.04E-06,22.27019071
P38263,Vacuolar import and degradation protein 24,VID24,YBR105C,1,1,3,8.33E-05,22.32580666
P53966,Probable mannosyltransferase KTR5,KTR5,YNL029C,2,2,3.8,0.00025079,22.33790075
P25568,Autophagy-related protein 22,ATG22,YCL038C,1,1,3.4,5.93E-10,22.33930533
P40960,WD repeat-containing protein PAC11,PAC11,YDR488C,2,2,6.2,1.35E-12,22.4936181
Q03079,Uncharacterized membrane protein YPL041C,YPL041C,YPL041C,1,1,3.9,0.0013353,22.4993138
P13099,DNA topoisomerase 3,TOP3,YLR234W,2,2,4.7,2.25E-08,22.54317633
Q12280,Ras GTPase-activating-like protein IQG1,IQG1,YPL242C,9,9,6.9,5.34E-40,22.82672977
P38207,DNA-(apurinic or apyrimidinic site) lyase 2,APN2,YBL019W,2,2,3.7,1.32E-07,22.9539053
P36070,RNA polymerase I-specific transcription initiation factor RRN3,RRN3,YKL125W,3,3,5.9,4.25E-12,23.20467013
P36062,Vacuolar amino acid transporter 3,AVT3,YKL146W,2,2,2.7,1.90E-06,23.31518068
Q12289,Mitochondrial carnitine carrier,CRC1,YOR100C,2,2,5.2,3.46E-05,23.32839468
P43633,Serine/threonine-protein kinase Haspin homolog ALK1,ALK1,YGL021W,5,5,8.9,2.03E-18,23.35048709
Q08683,Anaphase-promoting complex subunit 5,APC5,YOR249C,3,3,5.3,6.32E-10,23.46036123
Q12490,Transposon Ty1-BL Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,TY1B-BL,YBL005W-B,35,0,29.9,0,23.4899228
Q12361,G protein-coupled receptor GPR1,GPR1,YDL035C,4,4,4.1,1.15E-11,23.49329568
Q03612,Transposon Ty1-ER1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,TY1B-ER1,YER138C,45,0,41.4,0,23.50079978
P37298,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",SDH4,YDR178W,1,1,6.1,9.47E-10,23.50806512
P53832,Cell wall integrity and stress response component 2,WSC2,YNL283C,1,1,2,0.00029227,23.56573728
P40897,Oligopeptide transporter 1,OPT1,YJL212C,2,2,4.5,1.72E-10,23.8668666
P35192,Metal-binding activator 1,MAC1,YMR021C,3,3,11.3,1.80E-07,23.90028224
P36113,RING finger protein YKR017C,YKR017C,YKR017C,4,4,8,8.90E-10,24.11739417
P21372,Pre-mRNA-processing ATP-dependent RNA helicase PRP5,PRP5,YBR237W,6,6,6.6,3.25E-19,24.19706092
P42835,Protein EGT2,EGT2,YNL327W,2,2,2.3,4.11E-11,24.23453504
P04387,Galactose/lactose metabolism regulatory protein GAL80,GAL80,YML051W,1,1,2.8,4.51E-05,24.2629009
P38744,Putative pterin-4-alpha-carbinolamine dehydratase,YHL018W,YHL018W,1,1,13.3,0.001587,24.30710204
Q12416,G1-specific transcriptional repressor WHI5,WHI5,YOR083W,1,1,2.7,0.0021191,24.3110978
P38799,Uncharacterized protein YHR078W,YHR078W,YHR078W,2,2,3.8,3.53E-05,24.61801917
P47090,Uncharacterized endoplasmic reticulum membrane protein YJR015W,,YJR015W,2,2,4.9,0.00013969,24.71551514
P09435,Heat shock protein SSA3,SSA3,YBL075C,9,3,15.3,7.64E-44,24.78111903
P53158,Biogenesis of lysosome-related organelles complex 1 subunit KXD1,KXD1,YGL079W,2,2,9.6,0.0001128,25.05925625
Q12748,Central kinetochore subunit CTF3,CTF3,YLR381W,4,4,4.9,2.88E-13,25.1017723
P32325,DDK kinase regulatory subunit DBF4,DBF4,YDR052C,2,2,3.6,1.08E-08,25.10704367
P11986,Inositol-3-phosphate synthase,INO1,YJL153C,3,3,9.8,8.04E-16,25.21981338
P16658,tRNA-splicing endonuclease subunit SEN2,SEN2,YLR105C,3,3,7.7,1.37E-06,25.41533553
Q01649,Spindle pole body-associated protein CIK1,CIK1,YMR198W,6,6,10.9,4.63E-31,25.48233806
Q12132,Nutrient and stress factor 1,USV1,YPL230W,1,1,2.3,0.0010322,25.50420569
P36023,Oleate activated transcription factor 3,OAF3,YKR064W,4,4,4.8,4.44E-16,25.53205472
Q05043,Respiration factor 1,RSF1,YMR030W,1,1,4.3,3.75E-07,25.53471376
P53060,Reduced meiotic recombination protein 1,RMR1,YGL250W,2,2,7.9,5.44E-08,25.64750914
Q06683,Putative ATP-dependent helicase IRC3,IRC3,YDR332W,4,4,7.8,7.86E-21,25.67081856
P53239,Mitochondrial inner membrane protein COX18,COX18,YGR062C,1,1,3.2,0.00045072,25.67362769
P40034,JmjC domain-containing histone demethylation protein 1,JHD1,YER051W,6,6,12.4,6.18E-20,25.74389804
P53280,Protein CAF130,CAF130,YGR134W,6,5,5.8,8.67E-14,26.0241221
P10963,Phosphoenolpyruvate carboxykinase [ATP],PCK1,YKR097W,3,3,8.2,2.32E-10,26.10303665
