Protein Description,Probability Score,PSMs,Unique Peptides,"TMT-130 Intensity0 min","TMT-126 Intensity30 min","TMT-127 Intensity60 min","TMT-128 Intensity90 min","TMT-129 Intensity120 min","TMT-131 Intensity240 min",Quantified PSMs,Quantified Unique Peptides
"YGL195W GCN1 SGDID:S000003163, Chr VII from 131531-139549, Verified ORF, ""Positive regulator of the Gcn2p kinase activity, forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",0,287,60,105159246.7,99345764.41,105781867.8,108553640.3,106266183.4,102311567.9,112,35
"YML072C TCB3 SGDID:S000004537, Chr XIII from 129367-124730, reverse complement, Verified ORF, ""Lipid-binding protein, localized to the bud via specific mRNA transport; non-tagged protein detected in a phosphorylated state in mitochondria; GFP-fusion protein localizes to the cell periphery; C-termini of Tcb1p, Tcb2p and Tcb3p interact""",0,106,34,27578493.75,27497525.02,29607027.37,28612848.85,29951103.95,28649434.16,33,17
"YOR168W GLN4 SGDID:S000005694, Chr XV from 649304-651733, Verified ORF, ""Glutamine tRNA synthetase, monomeric class I tRNA synthetase that catalyzes the specific glutaminylation of tRNA(Glu); N-terminal domain proposed to be involved in enzyme-tRNA interactions""",0,269,40,161756744.7,159311475,168861978.6,164567318.4,164659288.2,157947716.1,119,30
"YHR068W DYS1 SGDID:S000001110, Chr VIII from 232135-233298, Verified ORF, ""Deoxyhypusine synthase, catalyzes formation of deoxyhypusine, the first step in hypusine biosynthesis; triggers posttranslational hypusination of translation elongation factor eIF-5A and regulates its intracellular levels; tetrameric""",0,124,24,66573697.75,65731673.51,65012854.36,65398389.95,63629354.63,62307634.18,58,16
"YJR064W CCT5 SGDID:S000003825, Chr X from 555906-557594, Verified ORF, ""Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo""",0,115,28,79353327.54,75188041.83,81486576.19,80073329.86,77360068.05,72981164.94,45,21
"YLR075W RPL10 SGDID:S000004065, Chr XII from 282928-283593, Verified ORF, ""Protein component of the large (60S) ribosomal subunit, responsible for joining the 40S and 60S subunits; regulates translation initiation; has similarity to rat L10 ribosomal protein and to members of the QM gene family""",0,568,26,354503454.1,354866981.6,334187240.1,325948452.5,333551082.4,337202628.8,341,25
"YMR205C PFK2 SGDID:S000004818, Chr XIII from 674765-671886, reverse complement, Verified ORF, ""Beta subunit of heterooctameric phosphofructokinase involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes""",0,445,44,182267047.2,181238969.3,188308470.6,197635530.1,200913549.6,198485618.5,199,36
"YLR060W FRS1 SGDID:S000004050, Chr XII from 260980-262767, Verified ORF, ""Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs2p to generate active enzyme; able to hydrolyze mis-aminoacylated tRNA-Phe, which could contribute to translational quality control""",0,235,30,123142252.2,119741493.4,122817491.6,125016829.6,125415539.4,126638145,116,22
"YGR192C TDH3 SGDID:S000003424, Chr VII from 883815-882817, reverse complement, Verified ORF, ""Glyceraldehyde-3-phosphate dehydrogenase, isozyme 3, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell-wall""",0,9075,46,950380646.1,871048584.9,907631403.3,907509667.7,894361013,935083156.8,3009,22
"YHR183W GND1 SGDID:S000001226, Chr VIII from 470960-472429, Verified ORF, ""6-phosphogluconate dehydrogenase (decarboxylating), catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress""",0,512,42,357614410.2,336369035.8,344295441.7,344556892.6,338811598.8,320335408.3,303,41
"YKL152C GPM1 SGDID:S000001635, Chr XI from 164390-163647, reverse complement, Verified ORF, ""Tetrameric phosphoglycerate mutase, mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis""",0,1433,29,659024584.3,661659462.6,638683597.6,661752055.8,673632592.3,675820361.4,852,33
"YGR240C PFK1 SGDID:S000003472, Chr VII from 973739-970776, reverse complement, Verified ORF, ""Alpha subunit of heterooctameric phosphofructokinase involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes""",0,738,60,367161947.3,353555283.5,363340299.2,374619819.7,375478857.6,391326394,399,52
"YER178W PDA1 SGDID:S000000980, Chr V from 546812-548074, Verified ORF, ""E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex, catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose""",0,158,25,87365152.7,91610153.29,90445050.55,89010435.85,89285347.32,86191370.76,95,20
"YJR139C HOM6 SGDID:S000003900, Chr X from 690514-689435, reverse complement, Verified ORF, ""Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase), dimeric enzyme that catalyzes the third step in the common pathway for methionine and threonine biosynthesis; enzyme has nucleotide-binding, dimerization and catalytic regions""",0,389,24,182653150,174783419.6,174173944.7,177334342.5,187522816,191152001.1,208,21
"YOR027W STI1 SGDID:S000005553, Chr XV from 381053-382822, Verified ORF, ""Hsp90 cochaperone, interacts with the Ssa group of the cytosolic Hsp70 chaperones; activates the ATPase activity of Ssa1p; homolog of mammalian Hop protein""",0,346,44,181906335.7,190860583.8,193507235.5,187882346.2,174831259.8,157589443.1,169,40
"YJL130C URA2 SGDID:S000003666, Chr X from 172363-165719, reverse complement, Verified ORF, ""Bifunctional carbamoylphosphate synthetase (CPSase)-aspartate transcarbamylase (ATCase), catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP""",0,739,93,367035488.4,347278293,358465597.3,422721107.8,423894239.2,376036476.5,341,78
"YJR045C SSC1 SGDID:S000003806, Chr X from 521594-519630, reverse complement, Verified ORF, ""Mitochondrial matrix ATPase, subunit of the presequence translocase-associated protein import motor (PAM) and of SceI endonuclease; involved in protein folding and translocation into the matrix; phosphorylated; member of HSP70 family""",0,670,50,383498157.6,386515465.6,372891196.1,374324441.6,374046668.3,387298136.1,352,52
"YDL055C PSA1 SGDID:S000002213, Chr IV from 356759-355674, reverse complement, Verified ORF, ""GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure""",0,553,27,207732106.5,188377395.1,195945935.3,210611557,212823460.8,225373653.5,218,25
"YPL061W ALD6 SGDID:S000005982, Chr XVI from 432585-434087, Verified ORF, ""Cytosolic aldehyde dehydrogenase, activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress""",0,2081,44,942156114.8,1102505105,1064351724,1018914936,1000934661,960843143.8,1141,51
"YOR341W RPA190 SGDID:S000005868, Chr XV from 960984-965978, Verified ORF, ""RNA polymerase I subunit; largest subunit of RNA polymerase I""",0,225,45,77738278.95,71134728.96,71605628.63,70632309.43,69818513.95,68223358.28,84,30
"YKL182W FAS1 SGDID:S000001665, Chr XI from 100676-106831, Verified ORF, ""Beta subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities""",0,980,110,448702339.9,433170539,418145873.6,419844885.6,422943221.3,410753550.8,458,97
"YJR016C ILV3 SGDID:S000003777, Chr X from 466200-464443, reverse complement, Verified ORF, ""Dihydroxyacid dehydratase, catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids""",0,294,26,123304362.8,129113710.4,120189489.4,122239847.6,123090621.7,135660815.4,140,29
"YJL012C VTC4 SGDID:S000003549, Chr X from 413392-411227, reverse complement, Verified ORF, ""Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in non-autophagic vacuolar fusion""",0,192,34,157732863,153103967.2,146032230.7,142914098.6,145928719.8,127798261.5,90,23
"YEL031W SPF1 SGDID:S000000757, Chr V from 90258-93905, Verified ORF, ""P-type ATPase, ion transporter of the ER membrane involved in ER function and Ca2+ homeostasis; required for regulating Hmg2p degradation; confers sensitivity to a killer toxin (SMKT) produced by Pichia farinosa KK1""",0,156,32,54105997.07,52356033.49,55610668.54,55719970,54899689.52,53372661.33,66,25
"YGL234W ADE5,7 SGDID:S000003203, Chr VII from 56482-58890, Verified ORF, ""Bifunctional enzyme of the 'de novo' purine nucleotide biosynthetic pathway, contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities""",0,262,36,82334754.21,78748776.17,83613402.22,81471734.2,77819741.91,71561969.27,100,25
"YDL223C HBT1 SGDID:S000002382, Chr IV from 60406-57266, reverse complement, Verified ORF, ""Substrate of the Hub1p ubiquitin-like protein that localizes to the shmoo tip (mating projection); mutants are defective for mating projection formation, thereby implicating Hbt1p in polarized cell morphogenesis""",0,107,37,16548294.31,27509241.59,42855064.28,41598395.65,39197749.76,29525680.22,33,17
"YGR116W SPT6 SGDID:S000003348, Chr VII from 720413-724768, Verified ORF, ""Transcription elongation factor required for the maintenance of chromatin structure during transcription in order to inhibit transcription from promoters within the coding region""",0,114,27,25726083.61,25636799.89,26959983.1,26626588.17,26714800.59,26189529.04,35,16
"YLL045C RPL8B SGDID:S000003968, Chr XII from 48628-47858, reverse complement, Verified ORF, ""Ribosomal protein L4 of the large (60S) ribosomal subunit, nearly identical to Rpl8Ap and has similarity to rat L7a ribosomal protein; mutation results in decreased amounts of free 60S subunits""",0,629,29,99395620.29,96817128.36,94232635.09,93968126.68,90226667.72,93719660.04,85,6
"YLR175W CBF5 SGDID:S000004165, Chr XII from 506136-507587, Verified ORF, ""Pseudouridine synthase catalytic subunit of box H/ACA small nucleolar ribonucleoprotein particles (snoRNPs), acts on both large and small rRNAs and on snRNA U2""",0,156,25,115372122.7,108579351.8,103664948,104774346.6,102363113.5,100005477.6,96,20
"YLR342W FKS1 SGDID:S000004334, Chr XII from 809997-815627, Verified ORF, ""Catalytic subunit of 1,3-beta-D-glucan synthase, functionally redundant with alternate catalytic subunit Gsc2p; binds to regulatory subunit Rho1p; involved in cell wall synthesis and maintenance; localizes to sites of cell wall remodeling""",0,238,45,34062432.57,31437920.85,34702369.48,38017314.91,36655382.29,34619657.21,76,13
"YLR044C PDC1 SGDID:S000004034, Chr XII from 234082-232391, reverse complement, Verified ORF, ""Major of three pyruvate decarboxylase isozymes, key enzyme in alcoholic fermentation, decarboxylates pyruvate to acetaldehyde; subject to glucose-, ethanol-, and autoregulation; involved in amino acid catabolism""",0,4491,46,1792970399,1750913403,1678046206,1765494585,1802149340,2032218860,2440,49
"YIL078W THS1 SGDID:S000001340, Chr IX from 212496-214700, Verified ORF, ""Threonyl-tRNA synthetase, essential cytoplasmic protein""",0,248,45,156933105,154309705.6,154455018.3,158366460,158476541.5,153739444.5,128,32
"YGL206C CHC1 SGDID:S000003174, Chr VII from 107508-102547, reverse complement, Verified ORF, ""Clathrin heavy chain, subunit of the major coat protein involved in intracellular protein transport and endocytosis; two heavy chains form the clathrin triskelion structural component; the light chain (CLC1) is thought to regulate function""",0,355,64,96044122.09,97548969.62,108185525.7,108708205.1,109497194,109578396.7,152,44
"YKL081W TEF4 SGDID:S000001564, Chr XI from 282535-282739,283066-284099, Verified ORF, ""Translation elongation factor EF-1 gamma""",0,641,28,389524387.3,374412640.7,372145634.2,378177824.1,377991145.9,379099684.1,389,24
"YJR070C LIA1 SGDID:S000003831, Chr X from 570590-569613, reverse complement, Verified ORF, ""Deoxyhypusine hydroxylase, a HEAT-repeat containing metalloenzyme that catalyses hypusine formation; binds to and is required for the modification of Hyp2p (eIF5A); complements S. pombe mmd1 mutants defective in mitochondrial positioning""",0,188,22,80976751.35,76219578.57,73470080.31,72889156.77,70856724.62,73084912.45,106,14
"YBL076C ILS1 SGDID:S000000172, Chr II from 84259-81041, reverse complement, Verified ORF, ""Cytoplasmic isoleucine-tRNA synthetase, target of the G1-specific inhibitor reveromycin A""",0,663,73,363511852.1,339047727.3,359041739.7,369395187.7,371227831.9,366181179.2,333,63
"YDL066W IDP1 SGDID:S000002224, Chr IV from 334835-336121, Verified ORF, ""Mitochondrial NADP-specific isocitrate dehydrogenase, catalyzes the oxidation of isocitrate to alpha-ketoglutarate; not required for mitochondrial respiration and may function to divert alpha-ketoglutarate to biosynthetic processes""",0,192,25,88964011.93,86295526.13,87767908.01,91260204.13,97068265.36,105538248.8,102,16
"YIL053W RHR2 SGDID:S000001315, Chr IX from 255113-255865, Verified ORF, ""Constitutively expressed isoform of DL-glycerol-3-phosphatase; involved in glycerol biosynthesis, induced in response to both anaerobic and, along with the Hor2p/Gpp2p isoform, osmotic stress""",0,763,24,165220452.6,199911127.4,198515173.4,200678539.5,203362876.1,246213067.7,349,18
"YGR094W VAS1 SGDID:S000003326, Chr VII from 672190-675504, Verified ORF, ""Mitochondrial and cytoplasmic valyl-tRNA synthetase""",0,525,49,245853549.3,233022002.1,232761602.7,236697154.8,240501240.2,248391012.2,250,42
"YGL207W SPT16 SGDID:S000003175, Chr VII from 98973-102080, Verified ORF, ""Subunit of the heterodimeric FACT complex (Spt16p-Pob3p), facilitates RNA Polymerase II transcription elongation through nucleosomes by destabilizing and then reassembling nucleosome structure""",0,132,28,67487216.29,69671905.5,74613629.1,73989315.3,73154816.75,69759893.21,59,20
"YPR181C SEC23 SGDID:S000006385, Chr XVI from 899663-897357, reverse complement, Verified ORF, ""GTPase-activating protein; component of the Sec23p-Sec24p heterodimeric complex of the COPII vesicle coat, involved in ER to Golgi transport and autophagy; stimulates the GDP-bound form of Sar1p""",0,154,25,58584038.65,55109449.21,57886654.95,59783514.41,60152856.94,58678419.16,70,16
"YKL212W SAC1 SGDID:S000001695, Chr XI from 34544-36415, Verified ORF, ""Phosphatidylinositol phosphate (PtdInsP) phosphatase involved in hydrolysis of PtdIns[4]P; transmembrane protein localizes to ER and Golgi; involved in protein trafficking and processing, secretion, and cell wall maintenance""",0,123,26,28510910.5,27812837.35,28797150.36,29329296.51,28712525.11,28139649.21,44,15
"YOR374W ALD4 SGDID:S000005901, Chr XV from 1039838-1041397, Verified ORF, ""Mitochondrial aldehyde dehydrogenase, required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed""",0,242,26,82170797.32,147350542.8,163618945.4,157480252.4,163116201.4,164174290.4,125,20
"YJR109C CPA2 SGDID:S000003870, Chr X from 632931-629575, reverse complement, Verified ORF, ""Large subunit of carbamoyl phosphate synthetase, which catalyzes a step in the synthesis of citrulline, an arginine precursor""",0,264,41,89887252.19,85432049.19,102648974.9,114803619.4,127143083.1,160766796.8,102,25
"YPR010C RPA135 SGDID:S000006214, Chr XVI from 581193-577582, reverse complement, Verified ORF, ""RNA polymerase I subunit A135""",0,153,27,35878567.16,35729335.57,34169496.53,32221968.61,32050774.85,31958722.7,58,19
"YAL038W CDC19 SGDID:S000000036, Chr I from 71787-73289, Verified ORF, ""Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration""",0,4545,54,1415388707,1407330890,1365965436,1390994492,1380558533,1441170331,2334,68
"YJL080C SCP160 SGDID:S000003616, Chr X from 289220-285552, reverse complement, Verified ORF, ""Essential RNA-binding G protein effector of mating response pathway, mainly associated with nuclear envelope and ER, interacts in mRNA-dependent manner with translating ribosomes via multiple KH domains, similar to vertebrate vigilins""",0,517,77,296521326,292569559.5,285286069.3,294647189.9,293087527.8,295119854.7,260,63
"YBR025C OLA1 SGDID:S000000229, Chr II from 291865-290681, reverse complement, Verified ORF, ""P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; protein levels are induced by hydrogen peroxide""",0,293,27,234412539.3,238467578.5,228755404.9,228811663.1,228216111.6,238397769.2,172,25
"YOR198C BFR1 SGDID:S000005724, Chr XV from 720066-718654, reverse complement, Verified ORF, ""Component of mRNP complexes associated with polyribosomes; implicated in secretion and nuclear segregation; multicopy suppressor of BFA (Brefeldin A) sensitivity""",0,288,39,158974156.2,160064763.3,165251836.2,171116560.7,173232613.1,168586463.7,154,31
"YML008C ERG6 SGDID:S000004467, Chr XIII from 252990-251839, reverse complement, Verified ORF, ""Delta(24)-sterol C-methyltransferase, converts zymosterol to fecosterol in the ergosterol biosynthetic pathway by methylating position C-24; localized to both lipid particles and mitochondrial outer membrane""",0,211,21,122728597.9,125752814.5,119783669.1,117638605.7,113774124.3,107430556.3,115,20
"YLR249W YEF3 SGDID:S000004239, Chr XII from 636782-639916, Verified ORF, ""Translational elongation factor 3, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing EF-1 alpha from the ribosomal complex; contains two ABC cassettes; binds and hydrolyses ATP""",0,2719,82,927355947.7,850186188.7,802389212,827739940.2,823128577.3,867782480.9,1297,77
