Protein IDs,Protein name,Gene name,Uniprot,Peptides,Razor Peptides,Unique Peptides,Sequence Coverage [%],Mol. Weight [kDa],PEP,Intensity Exp1,Intensity Exp2,Intensity Exp3,,
YJL052W,Glyceraldehyde-3-phosphate dehydrogenase 1,GPD1;J1154;SSS2;TDH1;YJL052W,P00360,26,16,16,74.1,35.8,0.0E+00,4.4E+08,1.0E+09,6.5E+08,,
YDL055C,ATP-mannose-1-phosphate guanylyltransferase;GDP-mannose pyrophosphorylase;Mannose-1-phosphate guanyltransferase;NDP-hexose pyrophosphorylase,MPG1;PSA1;SRB1;VIG9;YDL055C,P41940,22,22,22,89.8,39.6,0.0E+00,1.2E+09,7.1E+08,5.5E+08,,
YNL055C,Mitochondrial outer membrane protein porin 1;Voltage-dependent anion-selective channel protein 1,N2441;OMP2;POR1;VDAC1;YNL055C;YNL2441C,P04840,19,19,19,68.2,30.4,0.0E+00,1.2E+09,7.5E+08,5.4E+08,,
YBR011C,Inorganic pyrophosphatase;Pyrophosphate phospho-hydrolase,IPP1;PPA;PPA1;YBR011C;YBR0202,P00817,22,22,22,88.2,32.3,0.0E+00,1.2E+09,6.8E+08,5.3E+08,,
YMR116C,Guanine nucleotide-binding protein subunit beta-like protein;Receptor for activated C kinase;Receptor of activated protein kinase C 1,ASC1;CPC2;YM9718.15C;YMR116C,P38011;Q6LAA5,17,17,17,85,34.8,0.0E+00,2.2E+09,2.1E+09,5.3E+08,,
YFR053C,Hexokinase PI;Hexokinase-1;Hexokinase-A,HKA;HXK1;YFR053C,P04806,28,28,25,79.6,53.7,0.0E+00,8.9E+08,2.3E+09,5.2E+08,,
YJR045C;YEL030W,"Ecm10p;Endonuclease SceI 75 kDa subunit;Extracellular mutant protein 10;Heat shock protein SSC1, mitochondrial;Heat shock protein SSC3, mitochondrial;mtHSP70",ECM10;ENS1;J1639;SSC1;SSC3;YEL030W;YJR045C,D3DLL9;P12398;P39987,32,32,32,60.9,70.6,0.0E+00,2.0E+09,1.1E+09,5.1E+08,,
YBR031W,60S ribosomal protein L4-A;L2;RP2;YL2,RPL2;RPL2A;RPL4A;YBR0315;YBR031W,P10664,14,14,4,56.6,39.1,4.0E-259,2.0E+09,1.5E+09,5.0E+08,,
YKL182W,[Acyl-carrier-protein] acetyltransferase;[Acyl-carrier-protein] malonyltransferase;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase [NADH];Fatty acid synthase subunit beta;S-acyl fatty acid synthase thioesterase,FAS1;YKL182W,P07149,87,87,87,58.3,228.7,0.0E+00,2.8E+09,3.2E+09,4.9E+08,,
YPL231W,3-oxoacyl-[acyl-carrier-protein] reductase;3-oxoacyl-[acyl-carrier-protein] synthase;Acyl carrier;Beta-ketoacyl reductase;Beta-ketoacyl synthase;Fatty acid synthase subunit alpha,FAS2;P1409;YPL231W,P19097;Q12533,94,94,94,67.8,206.9,0.0E+00,2.7E+09,2.6E+09,4.8E+08,,
YJR121W,"ATP synthase subunit beta, mitochondrial",ATP2;J2041;YJR121W,P00830,15,15,15,44,54.8,0.0E+00,4.9E+08,3.3E+08,4.6E+08,,
YLR259C,"CPN60;Heat shock protein 60, mitochondrial;P66;Stimulator factor I 66 kDa component",HSP60;L8479.10;MIF4;YLR259C,P19882,29,29,29,55.4,60.8,0.0E+00,1.1E+09,4.9E+08,4.5E+08,,
YAL003W,Elongation factor 1-beta;Eukaryotic elongation factor 1Balpha;Translation elongation factor 1B alpha,EFB1;TEF5;YAL003W,P32471,15,15,15,74.8,22.6,0.0E+00,7.9E+08,1.1E+09,4.5E+08,,
YGR155W,Beta-thionase;Cystathionine beta-synthase;Serine sulfhydrase;Sulfur transfer protein 4,CYS4;G6667;NHS5;STR4;YGR155W,P32582;Q05177;Q27JK1;Q27JK4,34,34,34,71.6,56.0,0.0E+00,1.8E+09,6.6E+08,4.4E+08,,
YBR072W,26 kDa heat shock protein;Heat shock protein 26,HSP26;YBR0714;YBR072W,P15992;Q6B1V5,11,11,11,46.3,23.9,0.0E+00,2.4E+08,1.2E+09,4.3E+08,,
YHR183W,"6-phosphogluconate dehydrogenase, decarboxylating;6-phosphogluconate dehydrogenase, decarboxylating 1",GND1;YHR183W,D3DLD1;P38720,27,27,23,76.9,53.5,0.0E+00,1.1E+09,1.3E+09,4.3E+08,,
YJL130C,Aspartate carbamoyltransferase;Glutamine-dependent carbamoyl-phosphate synthase;Protein URA1,J0686;URA2;YJL130C,A2TBN0;P07259;Q06HN1,72,72,71,49.8,245.1,0.0E+00,8.4E+08,6.3E+08,4.2E+08,,
YGL253W,Hexokinase PII;Hexokinase-2;Hexokinase-B,HEX1;HKB;HXK2;NRB486;YGL253W,P04807;Q05838,23,20,20,77.6,53.9,0.0E+00,1.3E+09,1.2E+09,4.2E+08,,
YLR109W,AHPC1;Cytoplasmic thiol peroxidase 3;Peroxiredoxin type II;Peroxiredoxin type-2;Peroxisomal alkyl hydroperoxide reductase;Thiol-specific antioxidant II;Thioredoxin peroxidase type II;Thioredoxin reductase type II;TPx type II,AHP1;L2916;L9354.5;YLR109W,P38013,11,11,11,73.9,19.1,0.0E+00,1.4E+09,7.2E+08,4.2E+08,,
YER043C,Adenosylhomocysteinase;S-adenosyl-L-homocysteine hydrolase,SAH1;YER043C,D3DLU3;P39954,21,21,21,42.3,49.1,0.0E+00,3.4E+09,8.4E+08,4.2E+08,,
YOR096W,40S ribosomal protein S7-A;RP30;RP40,RPS30;RPS7A;YOR096W;YOR3177W,P26786;Q08502,14,14,9,63.7,21.6,1.8E-302,2.6E+09,1.1E+09,4.1E+08,,
YER177W,Protein BMH1;Putative uncharacterized protein,BMH1;YER177W,D3DM86;P29311;Q06854,12,12,5,70.4,30.1,0.0E+00,6.6E+08,5.6E+08,4.1E+08,,
YLL026W,Heat shock protein 104;Protein aggregation-remodeling factor HSP104,HSP104;L0948;YLL026W,P31539,47,47,47,64.4,102.0,0.0E+00,3.7E+08,9.5E+08,4.0E+08,,
YDR382W,60S acidic ribosomal protein P2-beta;L12EIA;L45;YL44C;YP2beta;YPA1,L12EIA;RPL45;RPLA4;RPP2B;YDR382W,P02400,7,7,7,86.4,11.1,0.0E+00,5.0E+08,7.5E+08,4.0E+08,,
YGL009C,3-isopropylmalate dehydratase;Alpha-IPM isomerase;Isopropylmalate isomerase,LEU1;YGL009C,P07264,29,29,29,46,85.8,0.0E+00,5.2E+08,4.9E+08,3.9E+08,,
YNL302C,40S ribosomal protein S19-B;RP55B;S16a;YS16B,N0422;RP55B;RPS16AB;RPS19B;YNL302C,P07281,9,9,1,62.5,15.9,0.0E+00,1.6E+09,6.5E+08,3.8E+08,,
YPL106C,Chaperone protein MSI3;Heat shock protein homolog SSE1,LPG3C;MSI3;SSE1;YPL106C,P32589,45,45,42,63.1,77.4,0.0E+00,2.6E+09,1.0E+09,3.7E+08,,
YML063W,40S ribosomal protein S1-B;RP10B,PLC2;RPS10B;RPS1B;YML063W,P23248,22,22,6,70.6,28.8,0.0E+00,3.6E+09,1.4E+09,3.6E+08,,
YCL043C,Protein disulfide-isomerase;Thioredoxin-related glycoprotein 1,MFP1;PDI1;TRG1;YCL043C;YCL313;YCL43C,P17967,31,31,31,69.9,58.2,0.0E+00,6.5E+08,7.2E+08,3.5E+08,,
YIL053W,(DL)-glycerol-3-phosphatase 1,GPP1;RHR2;YIL053W,P38012;P41277,19,19,13,74,27.9,0.0E+00,2.0E+09,1.1E+09,3.4E+08,,
YLL045C,60S ribosomal protein L8-B;L4;L4-1;RP6;YL5,KRB1;RPL4B;RPL8B;YLL045C,P29453,29,29,7,84.8,28.1,0.0E+00,5.3E+09,1.6E+09,3.3E+08,,
YJR029W,Capsid protein;Gag-p45;Gag-Pol-p199;Integrase;p190;p23;p54;p60;p84;p90;Pol-p20;Pol-p63;Pol-p71;Reverse transcriptase/ribonuclease H;Transposon Ty1 TYA-TYB polyprotein;Transposon Ty1-JR2 Gag-Pol polyprotein;Ty1 protease;TY1A-TY1B,J1570;TY1B-JR2;YJR029W;YJRWTy1-2 POL,P47100;P87195,50,50,0,43.1,198.6,0.0E+00,1.4E+09,1.4E+09,3.3E+08,,
YPR074C,Transketolase 1,TKL1;YP9499.29C;YPR074C,P23254,23,23,23,43.2,73.8,0.0E+00,1.4E+09,7.2E+08,3.2E+08,,
YEL034W,eIF-4D;Eukaryotic translation initiation factor 5A-2;Hyp2p;Hypusine-containing protein HP2,HYP2;SYGP-ORF21;TIF51A;YEL034W,D3DLL5;P23301,9,9,7,59.9,17.1,0.0E+00,9.7E+08,3.3E+08,3.1E+08,,
YGL008C;YPL036W,Plasma membrane ATPase 1;Plasma membrane ATPase 2;Proton pump 1;Proton pump 2,PMA1;PMA2;YGL008C;YPL036W,P05030;P19657,24,24,24,34.7,99.6,0.0E+00,2.2E+09,1.4E+09,3.1E+08,,
YLL050C,Actin-depolymerizing factor 1;Cofilin,COF1;L0596;YLL050C,Q03048;Q05307;Q2XN65,6,6,6,61.5,15.9,6.9E-242,4.9E+08,2.6E+08,3.1E+08,,
YLR058C,"Glycine hydroxymethyltransferase;Serine hydroxymethyltransferase, cytosolic;Serine methylase",L2156;SHM2;SHMT2;YLR058C,P37291,21,21,21,58.8,52.2,0.0E+00,8.7E+08,2.4E+08,3.1E+08,,
YDL185W,Endonuclease PI-SceI;Sce VMA intein;Vacuolar proton pump subunit A;VMA1-derived endonuclease;V-type proton ATPase catalytic subunit A,CLS8;D1286;TFP1;VMA1;YDL185W,O74301;P17255;Q9Y7W5,45,45,45,66.2,118.6,0.0E+00,1.9E+09,1.5E+09,3.0E+08,,
YJL034W,78 kDa glucose-regulated protein homolog;Immunoglobulin heavy chain-binding protein homolog,GRP78;J1248;KAR2;SSD1;YJL034W,P16474,38,37,37,55.6,74.5,0.0E+00,9.2E+08,4.5E+08,2.9E+08,,
YDR502C,Methionine adenosyltransferase 2;S-adenosylmethionine synthase 2,D9719.8;ETH2;SAM2;YDR502C,P19358,21,11,11,79.9,42.3,0.0E+00,3.0E+08,1.7E+08,2.9E+08,,
YGL256W,Alcohol dehydrogenase 4;Alcohol dehydrogenase IV,ADH4;NRC465;YGL256W;ZRG5,P10127,12,12,12,56.8,41.1,0.0E+00,0.0E+00,2.2E+06,2.8E+08,,
YJR009C,Glyceraldehyde-3-phosphate dehydrogenase 2,GPD2;J1433;TDH2;YJR009C,P00358,27,5,4,88.6,35.8,0.0E+00,3.7E+08,8.2E+08,2.8E+08,,
YER165W,"ARS consensus-binding protein ACBP-67;Pab1p;Polyadenylate tail-binding protein;Polyadenylate-binding protein, cytoplasmic and nuclear",PAB1;YER165W,D3DM73;P04147,37,37,37,66.4,64.3,0.0E+00,1.6E+09,8.6E+08,2.8E+08,,
YGR240C,6PF-1-K subunit alpha;6-phosphofructokinase subunit alpha;Phosphofructokinase 1;Phosphohexokinase,G8599;PFK1;YGR240C,P16861,39,39,39,67,108.0,0.0E+00,1.5E+09,1.0E+09,2.7E+08,,
YLR340W,60S acidic ribosomal protein P0;L10E,L10E;L8300.8;RPA0;RPL10E;RPLA0;RPP0;YLR340W,P05317,15,15,15,57.4,33.7,0.0E+00,2.1E+09,9.6E+08,2.7E+08,,
YKL056C,Microtubule and mitochondria-interacting protein 1;Translation machinery-associated protein 19;Translationally-controlled tumor protein homolog,MMI1;TMA19;YKL056C;YKL312,P35691,9,9,9,35.3,18.7,6.8E-237,1.4E+09,3.9E+08,2.7E+08,,
YBL099W,"ATP synthase subunit alpha, mitochondrial",ATP1;YBL0827;YBL099W,P07251;Q92449,19,19,19,58.3,58.6,4.8E-295,5.1E+08,4.4E+08,2.6E+08,,
YOL039W,60S acidic ribosomal protein P2-alpha;A2;L12EIB;L44;YP2alpha,L12EIB;RPA2;RPL44;RPLA2;RPP2A;YOL039W,P05319,5,5,5,79.2,10.7,0.0E+00,6.1E+08,4.9E+08,2.6E+08,,
YHR208W,"Branched-chain-amino-acid aminotransferase;Branched-chain-amino-acid aminotransferase, mitochondrial;Protein ECA39;Protein TWT1",BAT1;ECA39;TWT1;YHR208W,D3DLF7;P38891,18,18,18,79.9,43.6,0.0E+00,3.9E+08,5.1E+08,2.6E+08,,
YLR180W,Methionine adenosyltransferase 1;S-adenosylmethionine synthase 1,ETH10;L9470.9;SAM1;YLR180W,P10659,22,22,12,72.3,41.8,0.0E+00,1.2E+09,2.8E+08,2.6E+08,,
YPL154C,Aspartate protease;Carboxypeptidase Y-deficient protein 4;Proteinase YSCA;Saccharopepsin,P2585;PEP4;PHO9;PRA1;YPL154C,P07267,10,10,10,34.1,44.5,0.0E+00,1.0E+08,8.1E+07,2.5E+08,,
YOR332W,Vacuolar proton pump subunit E;V-ATPase 27 kDa subunit;V-type proton ATPase subunit E,O6241;VAT5;VMA4;YOR332W,P22203,14,14,14,80.7,26.5,0.0E+00,5.6E+08,5.6E+08,2.5E+08,,
YGL147C,60S ribosomal protein L9-A;L8;RP24;YL11,RPL8A;RPL9;RPL9A;YGL147C,P05738,17,17,3,88,21.6,0.0E+00,3.0E+09,1.3E+09,2.5E+08,,
YCL040W,Glucokinase-1;Glucose kinase 1,GLK1;HOR3;YCL040W;YCL312;YCL40W,P17709,16,16,15,42.4,55.4,0.0E+00,2.2E+08,4.9E+08,2.4E+08,,
YLR150W,3BP1;GU4 nucleic-binding protein 2;POP2 multicopy suppressor protein 4;Ribosomal subunits association factor;Suppressor protein STM1;TOM1 suppressor protein 1;Triplex-binding protein 1,L9634.1;MPT4;STM1;STO1;YLR150W,P39015,19,19,19,64.8,30.0,0.0E+00,1.1E+09,6.6E+08,2.4E+08,,
YOR063W,60S ribosomal protein L3;Maintenance of killer protein 8;RP1;Trichodermin resistance protein;YL1,MAK8;RPL3;TCM1;YOR063W;YOR29-14,P14126;Q08459,24,24,24,62,43.8,0.0E+00,3.3E+09,1.4E+09,2.4E+08,,
YDL081C,60S acidic ribosomal protein P1-alpha;A1;L12EIIA;YP1alpha,L12EIIA;RPA1;RPLA1;RPP1A;YDL081C,P05318,4,4,4,81.1,10.9,5.1E-223,3.5E+08,5.9E+08,2.4E+08,,
YLR303W,Homocysteine synthase;O-acetylhomoserine sulfhydrylase;O-acetylserine sulfhydrylase;Protein MET17,L8003.1;MET17;MET25;YLR303W,P06106,16,16,16,44.6,48.7,0.0E+00,3.3E+08,3.3E+08,2.4E+08,,
YCR053W,Threonine synthase,THR4;YCR053W;YCR53W,P16120,27,27,27,69.6,57.5,0.0E+00,7.7E+08,3.9E+08,2.3E+08,,
YJL177W;YKL180W,60S ribosomal protein L17-A;60S ribosomal protein L17-B;L20;L20A;YL17,J0493;RPL17;RPL17A;RPL17B;RPL20A;RPL20B;YJL177W;YKL180W,P05740;P46990,8,8,8,53.3,20.6,0.0E+00,1.9E+09,8.5E+08,2.3E+08,,
YKL081W,Elongation factor 1-gamma 2;Eukaryotic elongation factor 1Bgamma 2;Translation elongation factor 1B gamma 2,EFC1;TEF4;YKL081W,P36008,25,25,23,66.7,46.5,0.0E+00,1.4E+09,8.6E+08,2.3E+08,,
YDR533C,Heat shock protein 31;Probable chaperone protein HSP31,D9719.36;HSP31;YDR533C,Q04432,11,11,11,73,25.7,9.6E-224,1.4E+07,2.2E+07,2.3E+08,,
YDL124W,NADPH-dependent alpha-keto amide reductase;YKAR,D2240;YDL124W,Q07551,22,22,22,85.3,35.6,0.0E+00,4.1E+08,2.2E+08,2.3E+08,,
YDR450W;YML026C,40S ribosomal protein S18,D9461.35;RPS18A;RPS18B;YDR450W;YML026C,P35271,11,11,11,79.5,17.0,1.1E-184,3.0E+09,1.4E+09,2.2E+08,,
YGL037C,Nicotinamidase;Nicotine deamidase,PNC1;YGL037C,P53184,7,7,7,61.6,25.0,1.8E-298,2.0E+08,1.8E+08,2.2E+08,,
YPR191W,"Complex III subunit 2;Core protein II;Cytochrome b-c1 complex subunit 2, mitochondrial;Ubiquinol-cytochrome-c reductase complex core protein 2",COR2;P9677.6;QCR2;UCR2;YPR191W,P07257,19,19,19,76.1,40.5,0.0E+00,3.0E+08,1.1E+08,2.2E+08,,
YBR181C;YPL090C,40S ribosomal protein S6;RP9;S10;YS4,LPG18C;RPS101;RPS102;RPS10A;RPS10B;RPS6A;RPS6B;YBR1244;YBR181C;YPL090C,P02365;P05751;Q02894,13,13,13,53.8,27.0,0.0E+00,2.5E+09,1.4E+09,2.2E+08,,
YLR293C,Chromosome stability protein 17;Genetic suppressor of PRP20-1;GTPase Ran homolog;GTP-binding nuclear protein GSP1/CNR1,CNR1;CST17;GSP1;L8003.19;YLR293C,P32835,11,11,1,56.6,24.8,1.6E-174,1.0E+09,4.3E+08,2.1E+08,,
YPL061W,"Magnesium-activated aldehyde dehydrogenase, cytosolic;Mg(2+)-activated acetaldehyde dehydrogenase",ALD6;ALDH1;LPE9;YPL061W,P54115;Q02782,25,25,25,61,54.4,0.0E+00,1.9E+09,7.4E+08,2.1E+08,,
YHR064C,DnaK-related protein SSZ1;Heat shock protein 70 homolog SSZ1;Pleiotropic drug resistance protein 13;Putative uncharacterized protein;Ribosome-associated complex subunit SSZ1,PDR13;SSZ1;YHR064C,D3DL13;P38788;Q6B1F3;Q6TQT7;Q6TQT8,26,26,26,73.8,58.2,0.0E+00,7.6E+08,6.3E+08,2.1E+08,,
YDL083C;YMR143W,40S ribosomal protein S16;RP61R,RP61R;RPS16A;RPS16B;YDL083C;YM9375.12;YMR143W,P26787;P40213,11,11,11,74.1,15.8,1.1E-100,1.4E+09,4.0E+08,2.1E+08,,
YDR226W;YOR191W,Adenylate kinase 1;Adenylate kinase cytosolic and mitochondrial;ATP-AMP transphosphorylase 1;ATP-dependent helicase ULS1;Role in silencing protein 1;Ubiquitin ligase for SUMO conjugates protein 1,ADK1;AKY;AKY1;AKY2;DIS1;RIS1;TID4;ULS1;YD9934.11;YDR226W;YOR191W,P07170;Q08562;Q6Q539,17,17,17,84.2,24.3,0.0E+00,5.7E+08,2.8E+08,2.1E+08,,
YOR374W,"K(+)-activated acetaldehyde dehydrogenase;Potassium-activated aldehyde dehydrogenase, mitochondrial",ALD4;ALD7;ALDH2;O6730;YOR374W,P46367;Q08898,23,23,21,57.6,56.7,0.0E+00,1.7E+08,5.8E+08,2.1E+08,,
YGL245W;REV__YOR058C,"Glutamate--tRNA ligase;Glutamyl-tRNA synthetase, cytoplasmic;P85",G0583;GUS1;HRB724;YGL245W,P46655,36,36,36,54.8,80.8,0.0E+00,1.3E+09,6.4E+08,2.1E+08,,
YOR369C,40S ribosomal protein S12,RPS12;YOR369C,P48589;Q02545,7,7,7,61.5,15.5,7.2E-250,1.3E+09,6.1E+08,2.1E+08,,
YNL178W,40S ribosomal protein S3;RP13;YS3,N1653;RPS3;SUF14;YNL178W,P05750,11,11,11,63.8,26.5,5.0E-202,9.0E+08,5.2E+08,2.0E+08,,
YLR448W,60S ribosomal protein L6-B;L17;RP18;YL16,L9324.4;RPL16B;RPL17B;RPL6B;YL16B;YLR448W,P05739,16,16,11,63.6,20.0,4.2E-173,1.9E+09,9.8E+08,2.0E+08,,
YLR354C,Transaldolase,L9638.6;TAL1;YLR354C,P15019,20,20,20,59.1,37.0,0.0E+00,6.4E+08,6.2E+08,2.0E+08,,
YGL076C,60S ribosomal protein L7-A;L6;RP11;YL8,RPL6A;RPL7A;RPL8A;YGL076C;YL8A,P05737;P87029,16,16,1,79.1,27.6,0.0E+00,4.0E+09,2.0E+09,1.9E+08,,
YNL069C,60S ribosomal protein L16-B;L21;RP23;YL15,N2377;RP23;RPL16B;RPL21B;YNL069C,P26785,19,19,13,67.2,22.2,2.4E-196,1.8E+09,5.4E+08,1.9E+08,,
YPL131W,60S ribosomal protein L5;L1;L1a;Ribosomal 5S RNA-binding protein;YL3,LPI14W;RPL1;RPL1A;RPL5;YPL131W,P26321,13,13,12,46.1,33.7,1.3E-124,6.1E+08,4.2E+08,1.8E+08,,
YMR108W,"Acetohydroxy-acid synthase catalytic subunit;Acetolactate synthase catalytic subunit, mitochondrial",ILV2;SMR1;YM9718.07;YMR108W,P07342,15,15,15,32,74.9,5.5E-255,2.2E+08,1.9E+08,1.8E+08,,
YGR204W,"C-1-tetrahydrofolate synthase, cytoplasmic;Formyltetrahydrofolate synthetase;Methenyltetrahydrofolate cyclohydrolase;Methylenetetrahydrofolate dehydrogenase",ADE3;G7733;YGR204W,P07245,37,37,37,53.9,102.2,0.0E+00,3.7E+08,4.1E+08,1.7E+08,,
YJL138C;YKR059W,ATP-dependent RNA helicase eIF4A;Eukaryotic initiation factor 4A;p37;Stimulator factor I 37 kDa component;Translation initiation factor 1/2,J0660;TIF1;TIF2;TIF41A;TIF41B;YJL138C;YKR059W,P10081,15,15,15,59.2,44.7,0.0E+00,5.3E+08,6.2E+08,1.7E+08,,
YKL085W,"Malate dehydrogenase, mitochondrial",MDH1;YKL085W,P17505,12,12,12,49.4,35.7,0.0E+00,1.9E+08,1.5E+08,1.7E+08,,
YAL012W,Cystathionine gamma-lyase;Gamma-cystathionase;Sulfur transfer protein 1,CYI1;CYS3;FUN35;STR1;YAL012W,P31373,14,14,14,65.5,42.5,2.5E-277,4.6E+08,2.7E+08,1.7E+08,,
YDR418W;YEL054C,"60S ribosomal protein L12;L15;Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl12Bp; rpl12a rpl12b double mutant exhibits slow growth and slow translation; has similarity to E. coli L11 and rat L12 ribosomal proteins;YL23",D9461.7;RPL12A;RPL12B;RPL15A;RPL15B;YDR418W;YEL054C,D3DLJ6;P05741;P17079,12,12,12,66.1,17.8,1.9E-123,2.4E+09,1.0E+09,1.7E+08,,
YGR180C,Ribonucleoside-diphosphate reductase small chain 2;Ribonucleotide reductase R2 subunit 2;Ribonucleotide reductase small subunit 2,CRT3;RNR4;YGR180C,P49723;Q66R92,21,21,21,67.8,40.1,0.0E+00,3.2E+08,1.0E+09,1.7E+08,,
YNR001C,"Citrate synthase, mitochondrial",CIT1;GLU3;LYS6;N2019;YNR001C,P00890,15,15,13,45.3,53.4,0.0E+00,8.7E+07,2.9E+08,1.7E+08,,
YBR191W,60S ribosomal protein L21-A,RPL21A;URP1;YBR1401;YBR191W,Q02753,9,9,1,51.2,18.2,7.1E-50,3.1E+09,9.5E+08,1.6E+08,,
